feature,model_acc,lin_acc,lin_auc,non_acc,non_auc,gap_acc,model_minus_lin
country,0.964,0.4706666666666667,0.48695073993215815,0.966,0.9930718029312834,0.4953333333333333,0.4933333333333333
question,1.0,1.0,1.0,1.0,1.0,0.0,0.0
food,0.986,0.984,0.9960213262601355,0.984,0.9960231040410739,0.0,0.0020000000000000018
person,0.9986666666666667,0.9993333333333333,0.9999982216025495,0.9993333333333333,0.9999946648076485,0.0,-0.0006666666666665932
body_part,0.9786666666666667,0.9813333333333333,0.9985919374194409,0.9813333333333333,0.9985261567180763,0.0,-0.002666666666666595
sentiment,0.982,0.9813333333333333,0.9954767166661621,0.9806666666666667,0.9955452782442537,-0.0006666666666665932,0.0006666666666667043
color,0.9726666666666667,0.9726666666666667,0.9974542295394826,0.972,0.9975058570523182,-0.0006666666666667043,0.0
number,0.976,0.9753333333333334,0.9972551037913879,0.974,0.997337307714302,-0.0013333333333334085,0.0006666666666665932
