tap,lin,non,gap
emb,0.9926666666666667,0.9913333333333333,-0.0013333333333334085
h0,0.9893333333333333,0.9906666666666667,0.0013333333333334085
h1,0.9926666666666667,0.9913333333333333,-0.0013333333333334085
h2,0.4706666666666667,0.966,0.4953333333333333
h3,0.964,0.97,0.006000000000000005
logits,0.9626666666666667,0.9653333333333334,0.002666666666666706
