feature,linear,nonlinear,gap
number,0.9793333333333333,0.98,0.0006666666666667043
question,0.9993333333333333,0.9993333333333333,0.0
color,0.9766666666666667,0.9766666666666667,0.0
food,0.9833333333333333,0.98,-0.0033333333333332993
sentiment,0.9806666666666667,0.9773333333333334,-0.0033333333333332993
country,0.9933333333333333,0.992,-0.0013333333333332975
person,0.9966666666666667,0.9953333333333333,-0.0013333333333334085
body_part,0.9793333333333333,0.9806666666666667,0.0013333333333334085
