feature,test_acc,pos_rate
number,0.976,0.536
question,1.0,0.5106666666666667
color,0.9726666666666667,0.5186666666666667
food,0.986,0.5006666666666667
sentiment,0.982,0.5206666666666667
country,0.964,0.49733333333333335
person,0.9986666666666667,0.5093333333333333
body_part,0.9786666666666667,0.49666666666666665
