feature,lin_acc,lin_bal_acc,lin_auc
number,0.9753333333333334,0.9753495453765655,0.9972551037913879
question,1.0,1.0,1.0
color,0.9726666666666667,0.9730023713050723,0.9974542295394826
food,0.984,0.9840070826792581,0.9960213262601355
sentiment,0.9813333333333333,0.9811357715136437,0.9954767166661621
country,0.4706666666666667,0.4701040385148733,0.48695073993215815
person,0.9993333333333333,0.9993455497382199,0.9999982216025495
body_part,0.9813333333333333,0.9813058358149251,0.9985919374194409
