template,n,pos_rate,within_lin_acc
0,1039,0.4821944177093359,0.4326923076923077
1,1116,0.4883512544802867,0.4716417910447761
2,1121,0.5004460303300624,0.5044510385756676
3,1064,0.49718045112781956,0.48125
4,998,0.46893787575150303,0.5033333333333333
5,1066,0.5337711069418386,0.603125
6,1059,0.4966949952785647,0.4276729559748428
7,1037,0.4802314368370299,0.5064102564102564
