feature,best_lin,best_non,gap,gap_ci_lo,gap_ci_hi,lin_logreg,lin_linsvm,lin_lda,non_mlp64,non_mlp2,non_rbfsvm,non_knn,non_gboost
country,0.5066666666666667,0.966,0.45933333333333326,0.4679833333333333,0.5200166666666667,0.4706666666666667,0.49733333333333335,0.5066666666666667,0.966,0.95,0.9646666666666667,0.9326666666666666,0.9213333333333333
color,0.9726666666666667,0.9753333333333334,0.002666666666666706,-0.002666666666666595,0.0,0.9726666666666667,0.972,0.9686666666666667,0.972,0.9733333333333334,0.9753333333333334,0.952,0.9673333333333334
number,0.976,0.9773333333333334,0.0013333333333334085,-0.004666666666666597,0.0013333333333334085,0.9753333333333334,0.976,0.9713333333333334,0.974,0.9733333333333334,0.9773333333333334,0.9693333333333334,0.9726666666666667
question,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998
sentiment,0.9813333333333333,0.9813333333333333,0.0,-0.002666666666666706,0.0013333333333334085,0.9813333333333333,0.9806666666666667,0.9806666666666667,0.9806666666666667,0.9813333333333333,0.9806666666666667,0.9733333333333334,0.968
person,0.9993333333333333,0.9993333333333333,0.0,0.0,0.0,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.996,0.9993333333333333,0.9933333333333333,0.9886666666666667
body_part,0.9813333333333333,0.9813333333333333,0.0,0.0,0.0,0.9813333333333333,0.9806666666666667,0.978,0.9813333333333333,0.9786666666666667,0.9786666666666667,0.9786666666666667,0.9786666666666667
food,0.986,0.9853333333333333,-0.0006666666666667043,-0.0020000000000000018,0.0020000000000000018,0.984,0.986,0.982,0.984,0.9813333333333333,0.9853333333333333,0.9566666666666667,0.9766666666666667
