feature,probe_h2,probe_residual,is_country
number,0.9753333333333334,1.0,False
question,1.0,1.0,False
color,0.9726666666666667,1.0,False
food,0.984,0.9993333333333333,False
sentiment,0.9813333333333333,1.0,False
country,0.4706666666666667,0.5506666666666666,True
person,0.9993333333333333,1.0,False
body_part,0.9813333333333333,0.9993333333333333,False
