k,country_linear,country_nonlinear,freq_peak_k,country1_arcs,overall_acc
1,0.5033333333333333,0.5386666666666666,4,12,0.7104166666666667
2,0.7113333333333334,0.9593333333333334,2,12,0.7186666666666667
3,0.9613333333333334,0.9666666666666667,3,5,0.683
4,0.9846666666666667,0.9846666666666667,3,3,0.6623333333333333
5,0.9866666666666667,0.988,4,3,0.65875
