control,lin,non,base
placebo,0.494,0.4786666666666667,0.5026666666666666
shuffle_F,,0.49533333333333335,0.5026666666666666
lc_n700,0.518,0.9566666666666667,0.5026666666666666
lc_n1750,0.49666666666666665,0.964,0.5026666666666666
lc_n3500,0.4666666666666667,0.966,0.5026666666666666
lc_n7000,0.4706666666666667,0.9653333333333334,0.5026666666666666
pca_whiten,0.5033333333333333,0.9706666666666667,0.5026666666666666
