feature,linear,nonlinear,gap
number,0.9793333333333333,0.9786666666666667,-0.0006666666666665932
question,0.9986666666666667,0.9993333333333333,0.0006666666666665932
color,0.972,0.9733333333333334,0.0013333333333334085
food,0.982,0.98,-0.0020000000000000018
sentiment,0.98,0.9813333333333333,0.0013333333333332975
country,0.9906666666666667,0.9886666666666667,-0.0020000000000000018
person,0.996,0.9953333333333333,-0.0006666666666667043
body_part,0.9793333333333333,0.9813333333333333,0.0020000000000000018
xor_sentiment_question,0.9633333333333334,0.9773333333333334,0.014000000000000012
