,k1,k2,k3,k4,k5
number,0.0004250819444155951,0.0027411384573725606,0.012404769695270934,0.00941317995396207,0.009103808269207314
question,0.7732042644812193,0.8228340131293417,0.18299620689057583,0.037601207107644474,0.12121368383467468
color,0.00809108415486548,0.008808823697370127,0.008771727989801414,0.0021192842072690343,0.0006695245317889231
food,0.6388168586963607,0.7351809026248848,0.6986273883209952,0.07283673392748147,0.0268530641384086
sentiment,0.05612675910822551,0.01394425382291975,0.0696485902340509,0.5498559485437031,0.495502070455774
country,0.005101889844463248,0.005203071487507982,0.001696304500124035,0.0009150809043277919,0.0023389945646959953
person,0.0014433976855431352,0.00029396950949178713,0.0013499005283852394,0.0022324892709382205,3.934826020257631e-05
body_part,0.000601942761790708,0.0007396945943075606,0.0021623305400082504,0.0013841530241217592,0.0011379284440177218
