feature,k1,k2,k3,k4,peak_k
number,0.0015557230982869985,0.0011955812759780748,0.0038340614230685244,0.004443198762419498,4
question,0.002592350083487238,0.0049700716515300725,0.0022490255257727743,0.001316060020806975,2
color,0.002269363177330952,0.0044670202101785295,0.003966462285748151,0.0036793865685906813,2
food,0.2276292124882856,0.31791731889678765,0.08514400561804847,0.07789098164425823,2
sentiment,0.10290935677438073,0.22863794720897468,0.05970297475890729,0.009509866741960527,2
country,0.14725953817034243,0.48641582360042224,0.045149492422348225,0.0432560043259308,2
person,0.0009469524995001644,0.0016665443625804022,0.0010674403499483232,0.0008423791029412708,2
body_part,0.6647545578980059,0.021043784530933807,0.10754943125125094,0.015783790667952324,1
